datadate,tic,conm,ajexdi,prccd
20090501,AXP,AMERICAN EXPRESS CO,1,24.29
20090504,AXP,AMERICAN EXPRESS CO,1,27.28
20090505,AXP,AMERICAN EXPRESS CO,1,26.57
20090506,AXP,AMERICAN EXPRESS CO,1,27.14
20090507,AXP,AMERICAN EXPRESS CO,1,25.97
20090508,AXP,AMERICAN EXPRESS CO,1,28.4
20090511,AXP,AMERICAN EXPRESS CO,1,26.04
20090512,AXP,AMERICAN EXPRESS CO,1,25.45
20090513,AXP,AMERICAN EXPRESS CO,1,24.09
20090514,AXP,AMERICAN EXPRESS CO,1,24.72
20090515,AXP,AMERICAN EXPRESS CO,1,24.23
20090518,AXP,AMERICAN EXPRESS CO,1,26.13
20090519,AXP,AMERICAN EXPRESS CO,1,24.79
20090520,AXP,AMERICAN EXPRESS CO,1,23.98
20090521,AXP,AMERICAN EXPRESS CO,1,24.15
20090522,AXP,AMERICAN EXPRESS CO,1,23.4
20090526,AXP,AMERICAN EXPRESS CO,1,24.57
20090527,AXP,AMERICAN EXPRESS CO,1,23.5
20090528,AXP,AMERICAN EXPRESS CO,1,24.3
20090529,AXP,AMERICAN EXPRESS CO,1,24.85
20090601,AXP,AMERICAN EXPRESS CO,1,25.99
20090602,AXP,AMERICAN EXPRESS CO,1,24.71
20090603,AXP,AMERICAN EXPRESS CO,1,24.48
20090604,AXP,AMERICAN EXPRESS CO,1,25.25
20090605,AXP,AMERICAN EXPRESS CO,1,24.95
20090608,AXP,AMERICAN EXPRESS CO,1,25.65
20090609,AXP,AMERICAN EXPRESS CO,1,26.93
20090610,AXP,AMERICAN EXPRESS CO,1,26.69
20090611,AXP,AMERICAN EXPRESS CO,1,25.63
20090612,AXP,AMERICAN EXPRESS CO,1,25.16
20090615,AXP,AMERICAN EXPRESS CO,1,25.23
20090616,AXP,AMERICAN EXPRESS CO,1,24.69
20090617,AXP,AMERICAN EXPRESS CO,1,23.95
20090618,AXP,AMERICAN EXPRESS CO,1,24.1
20090619,AXP,AMERICAN EXPRESS CO,1,24.64
20090622,AXP,AMERICAN EXPRESS CO,1,23.23
20090623,AXP,AMERICAN EXPRESS CO,1,23.39
20090624,AXP,AMERICAN EXPRESS CO,1,22.93
20090625,AXP,AMERICAN EXPRESS CO,1,24.44
20090626,AXP,AMERICAN EXPRESS CO,1,23.76
20090629,AXP,AMERICAN EXPRESS CO,1,24
20090630,AXP,AMERICAN EXPRESS CO,1,23.24
20090701,AXP,AMERICAN EXPRESS CO,1,23
20090702,AXP,AMERICAN EXPRESS CO,1,22.27
20090706,AXP,AMERICAN EXPRESS CO,1,23.52
20090707,AXP,AMERICAN EXPRESS CO,1,22.63
20090708,AXP,AMERICAN EXPRESS CO,1,22.72
20090709,AXP,AMERICAN EXPRESS CO,1,22.8
20090710,AXP,AMERICAN EXPRESS CO,1,23.22
20090713,AXP,AMERICAN EXPRESS CO,1,24.52
20090714,AXP,AMERICAN EXPRESS CO,1,24.46
20090715,AXP,AMERICAN EXPRESS CO,1,27.22
20090716,AXP,AMERICAN EXPRESS CO,1,28.28
20090717,AXP,AMERICAN EXPRESS CO,1,28.03
20090720,AXP,AMERICAN EXPRESS CO,1,28.89
20090721,AXP,AMERICAN EXPRESS CO,1,29.38
20090722,AXP,AMERICAN EXPRESS CO,1,28.76
20090723,AXP,AMERICAN EXPRESS CO,1,29.45
20090724,AXP,AMERICAN EXPRESS CO,1,29.51
20090727,AXP,AMERICAN EXPRESS CO,1,28.38
20090728,AXP,AMERICAN EXPRESS CO,1,27.68
20090729,AXP,AMERICAN EXPRESS CO,1,27.75
20090730,AXP,AMERICAN EXPRESS CO,1,28.23
20090731,AXP,AMERICAN EXPRESS CO,1,28.33
20090803,AXP,AMERICAN EXPRESS CO,1,28.65
20090804,AXP,AMERICAN EXPRESS CO,1,28.71
20090805,AXP,AMERICAN EXPRESS CO,1,30.36
20090806,AXP,AMERICAN EXPRESS CO,1,31.31
20090807,AXP,AMERICAN EXPRESS CO,1,32.69
20090810,AXP,AMERICAN EXPRESS CO,1,32.34
20090811,AXP,AMERICAN EXPRESS CO,1,31.51
20090812,AXP,AMERICAN EXPRESS CO,1,31.8
20090813,AXP,AMERICAN EXPRESS CO,1,31.98
20090814,AXP,AMERICAN EXPRESS CO,1,31.72
20090817,AXP,AMERICAN EXPRESS CO,1,30.39
20090818,AXP,AMERICAN EXPRESS CO,1,31.69
20090819,AXP,AMERICAN EXPRESS CO,1,31.7
20090820,AXP,AMERICAN EXPRESS CO,1,32.52
20090821,AXP,AMERICAN EXPRESS CO,1,32.85
20090824,AXP,AMERICAN EXPRESS CO,1,32.67
20090825,AXP,AMERICAN EXPRESS CO,1,32.82
20090826,AXP,AMERICAN EXPRESS CO,1,33.14
20090827,AXP,AMERICAN EXPRESS CO,1,33.96
20090828,AXP,AMERICAN EXPRESS CO,1,34.24
20090831,AXP,AMERICAN EXPRESS CO,1,33.82
20090901,AXP,AMERICAN EXPRESS CO,1,31.98
20090902,AXP,AMERICAN EXPRESS CO,1,31.95
20090903,AXP,AMERICAN EXPRESS CO,1,32.46
20090904,AXP,AMERICAN EXPRESS CO,1,32.84
20090908,AXP,AMERICAN EXPRESS CO,1,33.49
20090909,AXP,AMERICAN EXPRESS CO,1,34.09
20090910,AXP,AMERICAN EXPRESS CO,1,34.4
20090911,AXP,AMERICAN EXPRESS CO,1,34.17
20090914,AXP,AMERICAN EXPRESS CO,1,33.92
20090915,AXP,AMERICAN EXPRESS CO,1,34.65
20090916,AXP,AMERICAN EXPRESS CO,1,35.84
20090917,AXP,AMERICAN EXPRESS CO,1,35
20090918,AXP,AMERICAN EXPRESS CO,1,34.77
20090921,AXP,AMERICAN EXPRESS CO,1,33.76
20090922,AXP,AMERICAN EXPRESS CO,1,33.97
20090923,AXP,AMERICAN EXPRESS CO,1,33.6
20090924,AXP,AMERICAN EXPRESS CO,1,33.85
20090925,AXP,AMERICAN EXPRESS CO,1,33.07
20090928,AXP,AMERICAN EXPRESS CO,1,34.41
20090929,AXP,AMERICAN EXPRESS CO,1,33.99
20090930,AXP,AMERICAN EXPRESS CO,1,33.9
20091001,AXP,AMERICAN EXPRESS CO,1,32.46
20091002,AXP,AMERICAN EXPRESS CO,1,32.49
20091005,AXP,AMERICAN EXPRESS CO,1,33.22
20091006,AXP,AMERICAN EXPRESS CO,1,33.52
20091007,AXP,AMERICAN EXPRESS CO,1,33.99
20091008,AXP,AMERICAN EXPRESS CO,1,34.98
20091009,AXP,AMERICAN EXPRESS CO,1,34.94
20091012,AXP,AMERICAN EXPRESS CO,1,35.08
20091013,AXP,AMERICAN EXPRESS CO,1,34.84
20091014,AXP,AMERICAN EXPRESS CO,1,35.09
20091015,AXP,AMERICAN EXPRESS CO,1,35.54
20091016,AXP,AMERICAN EXPRESS CO,1,34.95
20091019,AXP,AMERICAN EXPRESS CO,1,35.74
20091020,AXP,AMERICAN EXPRESS CO,1,35.42
20091021,AXP,AMERICAN EXPRESS CO,1,35.1
20091022,AXP,AMERICAN EXPRESS CO,1,36.44
20091023,AXP,AMERICAN EXPRESS CO,1,34.58
20091026,AXP,AMERICAN EXPRESS CO,1,34.88
20091027,AXP,AMERICAN EXPRESS CO,1,35.95
20091028,AXP,AMERICAN EXPRESS CO,1,34.67
20091029,AXP,AMERICAN EXPRESS CO,1,36.44
20091030,AXP,AMERICAN EXPRESS CO,1,34.84
20091102,AXP,AMERICAN EXPRESS CO,1,35.68
20091103,AXP,AMERICAN EXPRESS CO,1,36.04
20091104,AXP,AMERICAN EXPRESS CO,1,35.96
20091105,AXP,AMERICAN EXPRESS CO,1,37.74
20091106,AXP,AMERICAN EXPRESS CO,1,37.21
20091109,AXP,AMERICAN EXPRESS CO,1,39.05
20091110,AXP,AMERICAN EXPRESS CO,1,39.68
20091111,AXP,AMERICAN EXPRESS CO,1,40.05
20091112,AXP,AMERICAN EXPRESS CO,1,39.5
20091113,AXP,AMERICAN EXPRESS CO,1,40.35
20091116,AXP,AMERICAN EXPRESS CO,1,41.44
20091117,AXP,AMERICAN EXPRESS CO,1,41.36
20091118,AXP,AMERICAN EXPRESS CO,1,41.57
20091119,AXP,AMERICAN EXPRESS CO,1,41.14
20091120,AXP,AMERICAN EXPRESS CO,1,40.93
20091123,AXP,AMERICAN EXPRESS CO,1,41.63
20091124,AXP,AMERICAN EXPRESS CO,1,41.44
20091125,AXP,AMERICAN EXPRESS CO,1,41.72
20091127,AXP,AMERICAN EXPRESS CO,1,40.84
20091130,AXP,AMERICAN EXPRESS CO,1,41.83
20091201,AXP,AMERICAN EXPRESS CO,1,41.3
20091202,AXP,AMERICAN EXPRESS CO,1,41.04
20091203,AXP,AMERICAN EXPRESS CO,1,38.87
20091204,AXP,AMERICAN EXPRESS CO,1,39.3
20091207,AXP,AMERICAN EXPRESS CO,1,39.41
20091208,AXP,AMERICAN EXPRESS CO,1,39.13
20091209,AXP,AMERICAN EXPRESS CO,1,39.88
20091210,AXP,AMERICAN EXPRESS CO,1,40.23
20091211,AXP,AMERICAN EXPRESS CO,1,40.73
20091214,AXP,AMERICAN EXPRESS CO,1,41.28
20091215,AXP,AMERICAN EXPRESS CO,1,40.96
20091216,AXP,AMERICAN EXPRESS CO,1,41.27
20091217,AXP,AMERICAN EXPRESS CO,1,40.45
20091218,AXP,AMERICAN EXPRESS CO,1,40.51
20091221,AXP,AMERICAN EXPRESS CO,1,41.02
20091222,AXP,AMERICAN EXPRESS CO,1,41.42
20091223,AXP,AMERICAN EXPRESS CO,1,41.21
20091224,AXP,AMERICAN EXPRESS CO,1,41.68
20091228,AXP,AMERICAN EXPRESS CO,1,41.05
20091229,AXP,AMERICAN EXPRESS CO,1,40.88
20091230,AXP,AMERICAN EXPRESS CO,1,40.8
20091231,AXP,AMERICAN EXPRESS CO,1,40.52
20100104,AXP,AMERICAN EXPRESS CO,1,40.92
20100105,AXP,AMERICAN EXPRESS CO,1,40.83
20100106,AXP,AMERICAN EXPRESS CO,1,41.49
20100107,AXP,AMERICAN EXPRESS CO,1,41.98
20100108,AXP,AMERICAN EXPRESS CO,1,41.95
20100111,AXP,AMERICAN EXPRESS CO,1,41.47
20100112,AXP,AMERICAN EXPRESS CO,1,42.02
20100113,AXP,AMERICAN EXPRESS CO,1,42.15
20100114,AXP,AMERICAN EXPRESS CO,1,42.68
20100115,AXP,AMERICAN EXPRESS CO,1,42.39
20100119,AXP,AMERICAN EXPRESS CO,1,42.96
20100120,AXP,AMERICAN EXPRESS CO,1,42.98
20100121,AXP,AMERICAN EXPRESS CO,1,42.16
20100122,AXP,AMERICAN EXPRESS CO,1,38.59
20100125,AXP,AMERICAN EXPRESS CO,1,37.79
20100126,AXP,AMERICAN EXPRESS CO,1,38.1
20100127,AXP,AMERICAN EXPRESS CO,1,38.67
20100128,AXP,AMERICAN EXPRESS CO,1,37.43
20100129,AXP,AMERICAN EXPRESS CO,1,37.66
20100201,AXP,AMERICAN EXPRESS CO,1,38.21
20100202,AXP,AMERICAN EXPRESS CO,1,39.02
20100203,AXP,AMERICAN EXPRESS CO,1,38.33
20100204,AXP,AMERICAN EXPRESS CO,1,37.53
20100205,AXP,AMERICAN EXPRESS CO,1,37.85
20100208,AXP,AMERICAN EXPRESS CO,1,36.79
20100209,AXP,AMERICAN EXPRESS CO,1,37.54
20100210,AXP,AMERICAN EXPRESS CO,1,37.75
20100211,AXP,AMERICAN EXPRESS CO,1,38.29
20100212,AXP,AMERICAN EXPRESS CO,1,38.42
20100216,AXP,AMERICAN EXPRESS CO,1,39.62
20100217,AXP,AMERICAN EXPRESS CO,1,39.05
20100218,AXP,AMERICAN EXPRESS CO,1,39.15
20100219,AXP,AMERICAN EXPRESS CO,1,39.06
20100222,AXP,AMERICAN EXPRESS CO,1,38.93
20100223,AXP,AMERICAN EXPRESS CO,1,37.93
20100224,AXP,AMERICAN EXPRESS CO,1,38.41
20100225,AXP,AMERICAN EXPRESS CO,1,38.04
20100226,AXP,AMERICAN EXPRESS CO,1,38.19
20100301,AXP,AMERICAN EXPRESS CO,1,38.13
20100302,AXP,AMERICAN EXPRESS CO,1,38.39
20100303,AXP,AMERICAN EXPRESS CO,1,38.28
20100304,AXP,AMERICAN EXPRESS CO,1,38.89
20100305,AXP,AMERICAN EXPRESS CO,1,40.2
20100308,AXP,AMERICAN EXPRESS CO,1,39.71
20100309,AXP,AMERICAN EXPRESS CO,1,39.7
20100310,AXP,AMERICAN EXPRESS CO,1,39.72
20100311,AXP,AMERICAN EXPRESS CO,1,40.11
20100312,AXP,AMERICAN EXPRESS CO,1,40.76
20100315,AXP,AMERICAN EXPRESS CO,1,40.7
20100316,AXP,AMERICAN EXPRESS CO,1,40.92
20100317,AXP,AMERICAN EXPRESS CO,1,41.01
20100318,AXP,AMERICAN EXPRESS CO,1,41
20100319,AXP,AMERICAN EXPRESS CO,1,40.33
20100322,AXP,AMERICAN EXPRESS CO,1,41.08
20100323,AXP,AMERICAN EXPRESS CO,1,41.24
20100324,AXP,AMERICAN EXPRESS CO,1,41.01
20100325,AXP,AMERICAN EXPRESS CO,1,41.42
20100326,AXP,AMERICAN EXPRESS CO,1,41.12
20100329,AXP,AMERICAN EXPRESS CO,1,41.48
20100330,AXP,AMERICAN EXPRESS CO,1,41.29
20100331,AXP,AMERICAN EXPRESS CO,1,41.26
20100401,AXP,AMERICAN EXPRESS CO,1,41.7
20100405,AXP,AMERICAN EXPRESS CO,1,42.67
20100406,AXP,AMERICAN EXPRESS CO,1,43.12
20100407,AXP,AMERICAN EXPRESS CO,1,42.37
20100408,AXP,AMERICAN EXPRESS CO,1,43.69
20100409,AXP,AMERICAN EXPRESS CO,1,43.88
20100412,AXP,AMERICAN EXPRESS CO,1,44.54
20100413,AXP,AMERICAN EXPRESS CO,1,44.99
20100414,AXP,AMERICAN EXPRESS CO,1,46.46
20100415,AXP,AMERICAN EXPRESS CO,1,46.67
20100416,AXP,AMERICAN EXPRESS CO,1,45.1
20100419,AXP,AMERICAN EXPRESS CO,1,45.76
20100420,AXP,AMERICAN EXPRESS CO,1,46.2
20100421,AXP,AMERICAN EXPRESS CO,1,45.99
20100422,AXP,AMERICAN EXPRESS CO,1,46.77
20100423,AXP,AMERICAN EXPRESS CO,1,48.05
20100426,AXP,AMERICAN EXPRESS CO,1,47.14
20100427,AXP,AMERICAN EXPRESS CO,1,45.79
20100428,AXP,AMERICAN EXPRESS CO,1,46.08
20100429,AXP,AMERICAN EXPRESS CO,1,47.6
20100430,AXP,AMERICAN EXPRESS CO,1,46.12
20100503,AXP,AMERICAN EXPRESS CO,1,47.2
20100504,AXP,AMERICAN EXPRESS CO,1,45.86
20100505,AXP,AMERICAN EXPRESS CO,1,44.43
20100506,AXP,AMERICAN EXPRESS CO,1,42.5
20100507,AXP,AMERICAN EXPRESS CO,1,40.6
20100510,AXP,AMERICAN EXPRESS CO,1,43.09
20100511,AXP,AMERICAN EXPRESS CO,1,43.33
20100512,AXP,AMERICAN EXPRESS CO,1,44.1
20100513,AXP,AMERICAN EXPRESS CO,1,42.81
20100514,AXP,AMERICAN EXPRESS CO,1,40.64
20100517,AXP,AMERICAN EXPRESS CO,1,41.22
20100518,AXP,AMERICAN EXPRESS CO,1,39.84
20100519,AXP,AMERICAN EXPRESS CO,1,40.17
20100520,AXP,AMERICAN EXPRESS CO,1,38.62
20100521,AXP,AMERICAN EXPRESS CO,1,39.82
20100524,AXP,AMERICAN EXPRESS CO,1,39.04
20100525,AXP,AMERICAN EXPRESS CO,1,39
20100526,AXP,AMERICAN EXPRESS CO,1,38.17
20100527,AXP,AMERICAN EXPRESS CO,1,40.33
20100528,AXP,AMERICAN EXPRESS CO,1,39.87
20100601,AXP,AMERICAN EXPRESS CO,1,39.19
20100602,AXP,AMERICAN EXPRESS CO,1,40.97
20100603,AXP,AMERICAN EXPRESS CO,1,40.54
20100604,AXP,AMERICAN EXPRESS CO,1,38.41
20100607,AXP,AMERICAN EXPRESS CO,1,37.71
20100608,AXP,AMERICAN EXPRESS CO,1,38.43
20100609,AXP,AMERICAN EXPRESS CO,1,38.11
20100610,AXP,AMERICAN EXPRESS CO,1,40.03
20100611,AXP,AMERICAN EXPRESS CO,1,40.13
20100614,AXP,AMERICAN EXPRESS CO,1,39.89
20100615,AXP,AMERICAN EXPRESS CO,1,41.59
20100616,AXP,AMERICAN EXPRESS CO,1,42.34
20100617,AXP,AMERICAN EXPRESS CO,1,42.06
20100618,AXP,AMERICAN EXPRESS CO,1,42.03
20100621,AXP,AMERICAN EXPRESS CO,1,42.6
20100622,AXP,AMERICAN EXPRESS CO,1,41.94
20100623,AXP,AMERICAN EXPRESS CO,1,42.17
20100624,AXP,AMERICAN EXPRESS CO,1,41.06
20100625,AXP,AMERICAN EXPRESS CO,1,42.67
20100628,AXP,AMERICAN EXPRESS CO,1,42.11
20100629,AXP,AMERICAN EXPRESS CO,1,40.09
20100630,AXP,AMERICAN EXPRESS CO,1,39.7
20100701,AXP,AMERICAN EXPRESS CO,1,39.48
20100702,AXP,AMERICAN EXPRESS CO,1,39.42
20100706,AXP,AMERICAN EXPRESS CO,1,39.21
20100707,AXP,AMERICAN EXPRESS CO,1,41.15
20100708,AXP,AMERICAN EXPRESS CO,1,42.12
20100709,AXP,AMERICAN EXPRESS CO,1,42.58
20100712,AXP,AMERICAN EXPRESS CO,1,42.83
20100713,AXP,AMERICAN EXPRESS CO,1,44.17
20100714,AXP,AMERICAN EXPRESS CO,1,43.7
20100715,AXP,AMERICAN EXPRESS CO,1,43.43
20100716,AXP,AMERICAN EXPRESS CO,1,41.38
20100719,AXP,AMERICAN EXPRESS CO,1,41.58
20100720,AXP,AMERICAN EXPRESS CO,1,42.06
20100721,AXP,AMERICAN EXPRESS CO,1,41.15
20100722,AXP,AMERICAN EXPRESS CO,1,43.19
20100723,AXP,AMERICAN EXPRESS CO,1,44.79
20100726,AXP,AMERICAN EXPRESS CO,1,45.43
20100727,AXP,AMERICAN EXPRESS CO,1,44.55
20100728,AXP,AMERICAN EXPRESS CO,1,44.58
20100729,AXP,AMERICAN EXPRESS CO,1,44.56
20100730,AXP,AMERICAN EXPRESS CO,1,44.64
20100802,AXP,AMERICAN EXPRESS CO,1,44.99
20100803,AXP,AMERICAN EXPRESS CO,1,44.6
20100804,AXP,AMERICAN EXPRESS CO,1,44.11
20100805,AXP,AMERICAN EXPRESS CO,1,43.22
20100806,AXP,AMERICAN EXPRESS CO,1,43.5
20100809,AXP,AMERICAN EXPRESS CO,1,43.75
20100810,AXP,AMERICAN EXPRESS CO,1,44.09
20100811,AXP,AMERICAN EXPRESS CO,1,42.96
20100812,AXP,AMERICAN EXPRESS CO,1,42.15
20100813,AXP,AMERICAN EXPRESS CO,1,41.73
20100816,AXP,AMERICAN EXPRESS CO,1,41.54
20100817,AXP,AMERICAN EXPRESS CO,1,41.74
20100818,AXP,AMERICAN EXPRESS CO,1,41.69
20100819,AXP,AMERICAN EXPRESS CO,1,40.96
20100820,AXP,AMERICAN EXPRESS CO,1,40.76
20100823,AXP,AMERICAN EXPRESS CO,1,40.2
20100824,AXP,AMERICAN EXPRESS CO,1,39.57
20100825,AXP,AMERICAN EXPRESS CO,1,39.8
20100826,AXP,AMERICAN EXPRESS CO,1,39.73
20100827,AXP,AMERICAN EXPRESS CO,1,40.91
20100830,AXP,AMERICAN EXPRESS CO,1,39.89
20100831,AXP,AMERICAN EXPRESS CO,1,39.87
20100901,AXP,AMERICAN EXPRESS CO,1,41.07
20100902,AXP,AMERICAN EXPRESS CO,1,40.88
20100903,AXP,AMERICAN EXPRESS CO,1,41.8
20100907,AXP,AMERICAN EXPRESS CO,1,40.09
20100908,AXP,AMERICAN EXPRESS CO,1,40.07
20100909,AXP,AMERICAN EXPRESS CO,1,40.69
20100910,AXP,AMERICAN EXPRESS CO,1,40.19
20100913,AXP,AMERICAN EXPRESS CO,1,41.22
20100914,AXP,AMERICAN EXPRESS CO,1,40.38
20100915,AXP,AMERICAN EXPRESS CO,1,40.85
20100916,AXP,AMERICAN EXPRESS CO,1,40.96
20100917,AXP,AMERICAN EXPRESS CO,1,41.37
20100920,AXP,AMERICAN EXPRESS CO,1,43.12
20100921,AXP,AMERICAN EXPRESS CO,1,42.78
20100922,AXP,AMERICAN EXPRESS CO,1,42.79
20100923,AXP,AMERICAN EXPRESS CO,1,42.36
20100924,AXP,AMERICAN EXPRESS CO,1,43.13
20100927,AXP,AMERICAN EXPRESS CO,1,43.44
20100928,AXP,AMERICAN EXPRESS CO,1,43.69
20100929,AXP,AMERICAN EXPRESS CO,1,43.01
20100930,AXP,AMERICAN EXPRESS CO,1,42.03
20101001,AXP,AMERICAN EXPRESS CO,1,41.78
20101004,AXP,AMERICAN EXPRESS CO,1,39.05
20101005,AXP,AMERICAN EXPRESS CO,1,38.28
20101006,AXP,AMERICAN EXPRESS CO,1,38.02
20101007,AXP,AMERICAN EXPRESS CO,1,37.82
20101008,AXP,AMERICAN EXPRESS CO,1,37.99
20101011,AXP,AMERICAN EXPRESS CO,1,37.94
20101012,AXP,AMERICAN EXPRESS CO,1,38.54
20101013,AXP,AMERICAN EXPRESS CO,1,39.26
20101014,AXP,AMERICAN EXPRESS CO,1,39.44
20101015,AXP,AMERICAN EXPRESS CO,1,39.09
20101018,AXP,AMERICAN EXPRESS CO,1,39.55
20101019,AXP,AMERICAN EXPRESS CO,1,39.3075
20101020,AXP,AMERICAN EXPRESS CO,1,39.73
20101021,AXP,AMERICAN EXPRESS CO,1,40.27
20101022,AXP,AMERICAN EXPRESS CO,1,39.03
20101025,AXP,AMERICAN EXPRESS CO,1,39.3
20101026,AXP,AMERICAN EXPRESS CO,1,40.1
20101027,AXP,AMERICAN EXPRESS CO,1,40.68
20101028,AXP,AMERICAN EXPRESS CO,1,41.22
20101029,AXP,AMERICAN EXPRESS CO,1,41.46
20101101,AXP,AMERICAN EXPRESS CO,1,41.56
20101102,AXP,AMERICAN EXPRESS CO,1,42.39
20101103,AXP,AMERICAN EXPRESS CO,1,42.07
20101104,AXP,AMERICAN EXPRESS CO,1,43.73
20101105,AXP,AMERICAN EXPRESS CO,1,44.07
20101108,AXP,AMERICAN EXPRESS CO,1,43.9
20101109,AXP,AMERICAN EXPRESS CO,1,43.36
20101110,AXP,AMERICAN EXPRESS CO,1,43.56
20101111,AXP,AMERICAN EXPRESS CO,1,43.35
20101112,AXP,AMERICAN EXPRESS CO,1,42.7
20101115,AXP,AMERICAN EXPRESS CO,1,42.7
20101116,AXP,AMERICAN EXPRESS CO,1,41.93
20101117,AXP,AMERICAN EXPRESS CO,1,41.41
20101118,AXP,AMERICAN EXPRESS CO,1,42.25
20101119,AXP,AMERICAN EXPRESS CO,1,42.75
20101122,AXP,AMERICAN EXPRESS CO,1,42.22
20101123,AXP,AMERICAN EXPRESS CO,1,41.95
20101124,AXP,AMERICAN EXPRESS CO,1,43
20101126,AXP,AMERICAN EXPRESS CO,1,42.41
20101129,AXP,AMERICAN EXPRESS CO,1,43.33
